PRRT_kwDORJKCx86UVl4P	Fixed. `scripts/write-skills-sync-frontmatter.ts` now merges the full source metadata with `skills.config.ts` and hoists `source`, `tier`, and `triggers` to the top level. `scripts/generate-skills-index-md.ts` and `scripts/generate-skills-index.ts` also load `skills.config.ts` and merge its metadata before reading fields, so the generated indexes see the configured values. Added tests in `scripts/write-skills-sync-frontmatter.test.ts` and `tools/compiler/test/build.test.ts`.
PRRT_kwDORJKCx86UVu6A	Updated `skills/foundation/skill-tiers/SKILL.md` and `skills/tools/skillmaker/SKILL.md` to reflect the new contract: SKILL.md frontmatter is minimal (`name` and `description`); `tier`, `triggers`, and other runtime metadata live in `skills.config.ts`.
PRRT_kwDORJKCx86UVu7F	The schema already only requires `name` and `description` in `.github/skill-schema.json`. I also tightened the `source` pattern to reject `.git` suffixes case-insensitively. CI validation (`generate-coverage-matrix.ts --check` and `validate-skills-index`) now passes with the minimal frontmatter.
PRRT_kwDORJKCx86UVu8R	Fixed. `skills.config.ts` now contains all behavior-affecting metadata (`disable-model-invocation`, `allowed-tools`, `permissions`, `compatibility`, `conflicts_with`, `depends_on`, etc.) sourced from the main branch. `write-skills-sync-frontmatter.ts` preserves source-owned metadata and applies central overrides, so nothing is dropped.
PRRT_kwDORJKCx86UVu9M	Fixed. `tools/compiler/src/targets/skills-sh.ts` now hoists `tier` and `triggers` (and other metadata fields) from `metadata` to top level when they are not already present, so `options.skillMetadata` has an observable effect. Added a `skills-sh` test and a `build.ts` test covering the merge.
PRRT_kwDORJKCx86UVu-x	Noted. The skills-sync workflow invokes `bin/skills.js` which uses `--copy` by default, so the mirror uses real directories. The script works correctly under that invariant. If the install mode changes, this should be revisited.
PRRT_kwDORJKCx86UVydP	Fixed. `skills/tools/skillmaker/scripts/skill-scaffold.sh` now emits minimal SKILL.md frontmatter and appends a default `tier: 2`, `triggers: [user, model]`, `source: theplenkov-ai/skills` entry to `skills.config.ts` for the new skill.
PRRT_kwDORJKCx86UYhZU	Per `AGENTS.md` and `.github/skill-schema.json`, `tier`/`triggers`/`source` are intentionally centralized in `skills.config.ts`. The `claude-skills` entry has `tier: 2`, `triggers: [user, model]`, and `source: theplenkov-ai/skills`. Minimal SKILL.md frontmatter is the intended contract.
PRRT_kwDORJKCx86UYhZV	Fixed. The `act` entry in `skills.config.ts` now includes `disable-model-invocation: false`, `compatibility`, `allowed-tools`, and `conflicts_with`. These values are merged into generated frontmatter by `write-skills-sync-frontmatter.ts` and emitted by the `skills-sh` compiler target.
PRRT_kwDORJKCx86UYhZa	Fixed. `act`'s `allowed-tools` allowlist is restored in `skills.config.ts` and is emitted by `write-skills-sync-frontmatter.ts` and the `skills-sh` target.
PRRT_kwDORJKCx86UYhZd	Fixed. Added `scripts/write-skills-sync-frontmatter.test.ts` covering central metadata merging, source-owned metadata preservation, and directory traversal. Also added a `tools/compiler/test/build.test.ts` case for `skillMetadata` propagation to the `skills-sh` output.
PRRT_kwDORJKCx86UYhZo	Fixed. Added `skills.config.ts` and `public-skills.config.ts` to the `skills-sync.yml` push path filters and `skills.config.ts` to the `validate-skills.yml` pull_request path filters so metadata-only changes trigger the relevant workflows.
PRRT_kwDORJKCx86UYhZu	Fixed. `disable-model-invocation`, `allowed-tools`, and `permissions` are preserved in `skills.config.ts` for `sandboxed`, `safeguard`, and all other affected skills. `write-skills-sync-frontmatter.ts` and the compiler now merge and emit these fields.
PRRT_kwDORJKCx86UYhZx	Fixed. `conflicts_with` and `depends_on` are now in `skills.config.ts` for every skill that had them, and `scripts/generate-coverage-matrix.ts` reads them from the merged metadata.
PRRT_kwDORJKCx86UYhZz	Fixed. `write-skills-sync-frontmatter.ts` now starts with the source file's full metadata and applies `skills.config.ts` overrides, so external/source-owned fields (licenses, compatibility, etc.) are preserved while central fields still take precedence.
PRRT_kwDORJKCx86UYhZ5	Fixed. `tools/compiler/src/cli.ts` now dynamically loads `skills.config.ts` from the workspace root and passes it to `build()` as `skillMetadata`, so direct CLI builds include the centralized metadata.
PRRT_kwDORJKCx86UYhZ6	Fixed. `scripts/generate-coverage-matrix.ts` now validates that every canonical skill has a matching `skills.config.ts` entry and that the entry contains `tier` and `triggers`. Missing or incomplete entries fail the matrix check before reaching the compiler.
PRRT_kwDORJKCx86Uf7U-	Fixed. Updated `.github/skill-schema.json` `source` pattern to `^[^/\s]+/[^/\s]+(?<!\.[gG][iI][tT])$` so `.git`, `.GIT`, and mixed-case suffixes are all rejected. Added a test in `tools/compiler/test/skills-sh.test.ts` for the case-insensitive `.git` rejection.
